Time to complete exam,Year,Nachklausur,Grade,Course,Attemptnumber,Bachelor/Master,Study
58,2022,No,5,Vis,1,WirtschaftsInformatik,Master
61,2022,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
69,2022,No,4,Vis,2,WirtschaftsInformatik,Master
68,2022,No,3.7,Vis,1,WirtschaftsInformatik,Bachelor
82,2022,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
72,2022,No,5,Vis,1,WirtschaftsInformatik,Bachelor
72,2022,No,4,Vis,1,WirtschaftsInformatik,Master
61,2022,No,2,Vis,1,WirtschaftsInformatik,Bachelor
67,2022,No,5,Vis,1,(Wirtschafts-)Mathematik,Master
34,2022,No,5,Vis,1,(Wirtschafts-)Mathematik,Bachelor
65,2022,No,5,Vis,1,WirtschaftsInformatik,Bachelor
72,2022,No,5,Vis,1,WirtschaftsInformatik,Master
46,2022,No,4,Vis,1,WirtschaftsInformatik,Master
79,2022,No,3.7,Vis,1,WirtschaftsInformatik,Master
75,2022,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
65,2022,No,2.7,Vis,1,WirtschaftsInformatik,Master
63,2022,No,5,Vis,1,WirtschaftsInformatik,Master
34,2022,No,5,Vis,3,WirtschaftsInformatik,Master
79,2022,No,3.7,Vis,1,WirtschaftsInformatik,Master
68,2022,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
76,2022,No,2.3,Vis,1,WirtschaftsInformatik,Master
64,2022,No,5,Vis,1,WirtschaftsInformatik,Master
24,2022,No,4,Vis,1,WirtschaftsInformatik,Master
43,2022,No,5,Vis,1,WirtschaftsInformatik,Master
78,2022,No,4,Vis,2,WirtschaftsInformatik,Master
34,2022,No,5,Vis,1,WirtschaftsInformatik,Bachelor
80,2022,No,3,Vis,1,WirtschaftsInformatik,Master
63,2022,No,3.7,Vis,1,WirtschaftsInformatik,Master
72,2022,No,4,Vis,1,WirtschaftsInformatik,Master
73,2022,No,1,Vis,1,WirtschaftsInformatik,Master
74,2022,No,3,Vis,2,(Wirtschafts-)Mathematik,Master
70,2022,No,1.7,Vis,1,WirtschaftsInformatik,Master
68,2022,No,2.7,Vis,1,WirtschaftsInformatik,Bachelor
36,2022,No,2.3,Vis,1,WirtschaftsInformatik,Master
76,2022,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
15,2022,No,5,Vis,1,WirtschaftsInformatik,Master
65,2022,No,2.7,Vis,1,(Wirtschafts-)Mathematik,Bachelor
81,2022,No,4,Vis,2,(Wirtschafts-)Mathematik,Master
71,2022,No,2.3,Vis,1,WirtschaftsInformatik,Master
73,2022,No,1,Vis,1,(Wirtschafts-)Mathematik,Bachelor
64,2022,No,4,Vis,1,WirtschaftsInformatik,Bachelor
50,2022,No,4,Vis,1,(Wirtschafts-)Mathematik,Master
39,2022,No,2.7,Vis,1,(Wirtschafts-)Mathematik,Master
73,2022,No,2.3,Vis,1,WirtschaftsInformatik,Master
34,2022,No,5,Vis,2,WirtschaftsInformatik,Master
63,2022,No,1,Vis,1,WirtschaftsInformatik,Bachelor
15,2022,No,5,Vis,1,WirtschaftsInformatik,Master
76,2022,No,3,Vis,1,(Wirtschafts-)Mathematik,Bachelor
58,2022,No,4,Vis,1,WirtschaftsInformatik,Master
74,2022,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
74,2022,No,2,Vis,1,WirtschaftsInformatik,Master
70,2022,Yes,5,Vis,1,(Wirtschafts-)Mathematik,Master
65,2022,Yes,2.7,Vis,1,WirtschaftsInformatik,Master
72,2022,Yes,3,Vis,2,(Wirtschafts-)Mathematik,Master
52,2022,Yes,1,Vis,2,(Wirtschafts-)Mathematik,Bachelor
49,2022,Yes,1.7,Vis,2,WirtschaftsInformatik,Bachelor
78,2022,Yes,5,Vis,1,WirtschaftsInformatik,Master
48,2022,Yes,1.3,Vis,1,(Wirtschafts-)Mathematik,Master
71,2022,Yes,2.3,Vis,2,WirtschaftsInformatik,Master
78,2022,Yes,1.3,Vis,1,(Wirtschafts-)Mathematik,Master
48,2022,Yes,3,Vis,2,WirtschaftsInformatik,Master
68,2022,Yes,2,Vis,1,WirtschaftsInformatik,Bachelor
64,2022,Yes,5,Vis,1,WirtschaftsInformatik,Master
75,2022,Yes,1.7,Vis,1,WirtschaftsInformatik,Bachelor
64,2022,Yes,4,Vis,1,WirtschaftsInformatik,Master
68,2022,Yes,4,Vis,1,WirtschaftsInformatik,Master
83,2022,Yes,1.7,Vis,2,(Wirtschafts-)Mathematik,Bachelor
71,2022,Yes,2.3,Vis,2,(Wirtschafts-)Mathematik,Master
68,2022,Yes,1.3,Vis,2,WirtschaftsInformatik,Bachelor
68,2022,Yes,2.7,Vis,2,WirtschaftsInformatik,Master
52,2022,Yes,1.7,Vis,1,WirtschaftsInformatik,Master
78,2022,Yes,1,Vis,2,WirtschaftsInformatik,Master
73,2022,Yes,1,Vis,1,WirtschaftsInformatik,Master
81,2022,Yes,4,Vis,1,(Wirtschafts-)Mathematik,Master
73,2022,Yes,5,Vis,3,WirtschaftsInformatik,Master
46,2022,Yes,3.7,Vis,2,WirtschaftsInformatik,Master
24,2022,Yes,4,Vis,2,WirtschaftsInformatik,Master
52,2022,Yes,1.7,Vis,1,WirtschaftsInformatik,Master
75,2022,Yes,2.7,Vis,2,(Wirtschafts-)Mathematik,Master
61,2022,Yes,1.7,Vis,1,(Wirtschafts-)Mathematik,Master
47,2022,Yes,2.7,Vis,1,WirtschaftsInformatik,Master
70,2022,Yes,3.3,Vis,1,WirtschaftsInformatik,Master
54,2022,Yes,1,Vis,2,WirtschaftsInformatik,Master
24,2022,Yes,4,Vis,2,WirtschaftsInformatik,Master
82,2022,Yes,1.3,Vis,1,WirtschaftsInformatik,Master
58,2021,No,4,Vis,1,WirtschaftsInformatik,Master
38,2021,No,3,Vis,2,WirtschaftsInformatik,Master
72,2021,No,5,Vis,2,WirtschaftsInformatik,Master
60,2021,No,1.3,Vis,1,(Wirtschafts-)Mathematik,Master
82,2021,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
59,2021,No,2,Vis,1,WirtschaftsInformatik,Bachelor
69,2021,No,2.7,Vis,1,(Wirtschafts-)Mathematik,Master
61,2021,No,1.3,Vis,1,WirtschaftsInformatik,Bachelor
85,2021,No,1,Vis,1,(Wirtschafts-)Mathematik,Bachelor
77,2021,No,3.3,Vis,2,(Wirtschafts-)Mathematik,Bachelor
77,2021,No,3,Vis,1,WirtschaftsInformatik,Master
68,2021,No,2.3,Vis,1,(Wirtschafts-)Mathematik,Master
70,2021,No,3,Vis,1,(Wirtschafts-)Mathematik,Master
74,2021,No,1,Vis,1,WirtschaftsInformatik,Bachelor
79,2021,No,4,Vis,1,(Wirtschafts-)Mathematik,Master
77,2021,No,3,Vis,1,(Wirtschafts-)Mathematik,Master
69,2021,No,2.3,Vis,2,(Wirtschafts-)Mathematik,Bachelor
39,2021,No,3.3,Vis,3,WirtschaftsInformatik,Master
68,2021,No,3,Vis,1,WirtschaftsInformatik,Master
68,2021,No,2.3,Vis,2,WirtschaftsInformatik,Bachelor
44,2021,No,3.3,Vis,1,WirtschaftsInformatik,Bachelor
68,2021,No,3,Vis,1,WirtschaftsInformatik,Bachelor
69,2021,No,1.3,Vis,1,WirtschaftsInformatik,Bachelor
48,2021,No,2,Vis,2,WirtschaftsInformatik,Master
48,2021,No,1.3,Vis,1,WirtschaftsInformatik,Master
63,2021,No,3.7,Vis,1,(Wirtschafts-)Mathematik,Master
68,2021,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
78,2021,No,4,Vis,1,WirtschaftsInformatik,Master
44,2021,No,4,Vis,1,(Wirtschafts-)Mathematik,Bachelor
79,2021,No,4,Vis,1,WirtschaftsInformatik,Bachelor
75,2021,No,3,Vis,1,WirtschaftsInformatik,Master
39,2021,No,3,Vis,1,WirtschaftsInformatik,Master
39,2021,No,3.3,Vis,1,WirtschaftsInformatik,Bachelor
75,2021,No,1.7,Vis,1,WirtschaftsInformatik,Master
63,2021,No,5,Vis,1,(Wirtschafts-)Mathematik,Master
71,2021,No,5,Vis,2,WirtschaftsInformatik,Bachelor
48,2021,No,1.3,Vis,1,WirtschaftsInformatik,Master
59,2021,No,2.7,Vis,2,WirtschaftsInformatik,Master
64,2021,No,4,Vis,2,WirtschaftsInformatik,Master
56,2021,No,2.7,Vis,1,WirtschaftsInformatik,Bachelor
74,2021,No,4,Vis,1,WirtschaftsInformatik,Bachelor
79,2021,No,4,Vis,2,WirtschaftsInformatik,Master
78,2021,No,2,Vis,1,WirtschaftsInformatik,Master
69,2021,No,3,Vis,1,WirtschaftsInformatik,Master
78,2021,No,2,Vis,2,(Wirtschafts-)Mathematik,Master
46,2021,No,5,Vis,3,(Wirtschafts-)Mathematik,Master
63,2021,No,1,Vis,1,WirtschaftsInformatik,Master
77,2021,No,3,Vis,3,WirtschaftsInformatik,Master
36,2021,No,2.3,Vis,1,(Wirtschafts-)Mathematik,Bachelor
82,2021,No,3,Vis,1,(Wirtschafts-)Mathematik,Bachelor
68,2021,No,3,Vis,1,WirtschaftsInformatik,Master
49,2021,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
86,2021,No,5,Vis,1,WirtschaftsInformatik,Master
76,2021,No,3.3,Vis,1,(Wirtschafts-)Mathematik,Master
65,2021,No,3.3,Vis,1,WirtschaftsInformatik,Master
64,2021,No,5,Vis,1,(Wirtschafts-)Mathematik,Bachelor
74,2021,No,1.3,Vis,1,WirtschaftsInformatik,Bachelor
50,2021,No,5,Vis,2,WirtschaftsInformatik,Bachelor
54,2021,No,1.3,Vis,1,(Wirtschafts-)Mathematik,Bachelor
48,2021,No,1.7,Vis,1,(Wirtschafts-)Mathematik,Master
37,2021,No,1.3,Vis,1,(Wirtschafts-)Mathematik,Master
50,2021,No,4,Vis,1,WirtschaftsInformatik,Master
72,2021,No,3,Vis,3,WirtschaftsInformatik,Master
78,2021,No,5,Vis,2,WirtschaftsInformatik,Master
15,2021,No,5,Vis,1,WirtschaftsInformatik,Bachelor
63,2021,No,4,Vis,1,WirtschaftsInformatik,Master
73,2021,No,5,Vis,1,(Wirtschafts-)Mathematik,Master
52,2021,No,1.7,Vis,3,WirtschaftsInformatik,Master
73,2021,No,2,Vis,1,WirtschaftsInformatik,Bachelor
63,2021,No,4,Vis,1,(Wirtschafts-)Mathematik,Bachelor
66,2021,No,1.3,Vis,2,WirtschaftsInformatik,Bachelor
65,2021,No,3,Vis,1,WirtschaftsInformatik,Bachelor
15,2021,No,5,Vis,1,WirtschaftsInformatik,Master
64,2021,No,5,Vis,2,(Wirtschafts-)Mathematik,Master
72,2021,No,2.7,Vis,1,WirtschaftsInformatik,Master
45,2021,No,1.3,Vis,1,WirtschaftsInformatik,Master
70,2021,No,2.3,Vis,1,WirtschaftsInformatik,Master
74,2021,No,3.7,Vis,1,WirtschaftsInformatik,Bachelor
63,2021,No,4,Vis,1,WirtschaftsInformatik,Master
72,2021,No,5,Vis,1,(Wirtschafts-)Mathematik,Bachelor
51,2021,No,1,Vis,2,WirtschaftsInformatik,Bachelor
39,2021,No,2.7,Vis,1,WirtschaftsInformatik,Master
68,2021,No,2,Vis,1,WirtschaftsInformatik,Master
30,2021,No,1.3,Vis,1,WirtschaftsInformatik,Bachelor
72,2021,No,2.7,Vis,1,WirtschaftsInformatik,Master
15,2021,No,5,Vis,3,WirtschaftsInformatik,Bachelor
48,2021,No,1.7,Vis,3,(Wirtschafts-)Mathematik,Master
77,2021,No,2,Vis,1,WirtschaftsInformatik,Bachelor
46,2021,No,4,Vis,1,(Wirtschafts-)Mathematik,Master
51,2021,No,2.7,Vis,1,(Wirtschafts-)Mathematik,Master
83,2021,No,2,Vis,1,WirtschaftsInformatik,Master
65,2021,No,2.7,Vis,1,WirtschaftsInformatik,Master
69,2021,Yes,4,Vis,3,(Wirtschafts-)Mathematik,Master
45,2021,Yes,2,Vis,2,(Wirtschafts-)Mathematik,Master
54,2021,Yes,1,Vis,1,WirtschaftsInformatik,Master
67,2021,Yes,5,Vis,2,WirtschaftsInformatik,Bachelor
75,2021,Yes,2.7,Vis,1,(Wirtschafts-)Mathematik,Bachelor
65,2021,Yes,3,Vis,2,(Wirtschafts-)Mathematik,Master
73,2021,Yes,2,Vis,1,WirtschaftsInformatik,Bachelor
82,2021,Yes,3.7,Vis,1,(Wirtschafts-)Mathematik,Master
45,2021,Yes,1.7,Vis,1,WirtschaftsInformatik,Bachelor
39,2021,Yes,3.3,Vis,1,WirtschaftsInformatik,Master
58,2021,Yes,3.7,Vis,1,WirtschaftsInformatik,Master
72,2021,Yes,5,Vis,1,WirtschaftsInformatik,Bachelor
70,2021,Yes,3.3,Vis,1,(Wirtschafts-)Mathematik,Master
68,2021,Yes,2.3,Vis,1,WirtschaftsInformatik,Master
38,2021,Yes,3,Vis,1,WirtschaftsInformatik,Bachelor
49,2021,Yes,1.3,Vis,1,WirtschaftsInformatik,Master
45,2021,Yes,1,Vis,1,WirtschaftsInformatik,Bachelor
68,2021,Yes,2.7,Vis,2,WirtschaftsInformatik,Bachelor
78,2021,Yes,4,Vis,1,WirtschaftsInformatik,Bachelor
60,2021,Yes,1.3,Vis,1,WirtschaftsInformatik,Master
73,2021,Yes,5,Vis,2,(Wirtschafts-)Mathematik,Master
50,2021,Yes,3.7,Vis,1,WirtschaftsInformatik,Bachelor
60,2021,Yes,2,Vis,1,WirtschaftsInformatik,Master
73,2021,Yes,2.3,Vis,1,WirtschaftsInformatik,Master
68,2021,Yes,3.3,Vis,1,WirtschaftsInformatik,Bachelor
74,2021,Yes,1.3,Vis,2,WirtschaftsInformatik,Bachelor
47,2021,Yes,2.3,Vis,1,WirtschaftsInformatik,Master
69,2021,Yes,3,Vis,2,WirtschaftsInformatik,Master
69,2021,Yes,1,Vis,1,WirtschaftsInformatik,Master
78,2021,Yes,3,Vis,1,WirtschaftsInformatik,Master
72,2021,Yes,3.3,Vis,1,WirtschaftsInformatik,Master
79,2021,Yes,4,Vis,2,(Wirtschafts-)Mathematik,Master
68,2021,Yes,1,Vis,3,WirtschaftsInformatik,Master
74,2021,Yes,3.3,Vis,1,(Wirtschafts-)Mathematik,Master
72,2021,Yes,3,Vis,1,WirtschaftsInformatik,Bachelor
83,2021,Yes,1.7,Vis,2,(Wirtschafts-)Mathematik,Master
69,2021,Yes,1,Vis,2,WirtschaftsInformatik,Master
78,2021,Yes,1,Vis,1,WirtschaftsInformatik,Master
74,2021,Yes,3.7,Vis,1,WirtschaftsInformatik,Master
43,2021,Yes,1,Vis,1,WirtschaftsInformatik,Master
51,2021,Yes,1,Vis,1,(Wirtschafts-)Mathematik,Bachelor
49,2022,No,1.3,VA,1,WirtschaftsInformatik,Bachelor
48,2022,No,3,VA,1,(Wirtschafts-)Mathematik,Master
63,2022,No,4,VA,1,(Wirtschafts-)Mathematik,Bachelor
63,2022,No,1.3,VA,1,(Wirtschafts-)Mathematik,Master
78,2022,No,1,VA,2,WirtschaftsInformatik,Master
68,2022,No,3.3,VA,1,WirtschaftsInformatik,Master
77,2022,No,2,VA,1,WirtschaftsInformatik,Master
77,2022,No,3,VA,1,WirtschaftsInformatik,Master
68,2022,No,2.7,VA,1,WirtschaftsInformatik,Bachelor
81,2022,No,3.7,VA,1,WirtschaftsInformatik,Bachelor
58,2022,No,5,VA,1,WirtschaftsInformatik,Master
80,2022,No,4,VA,1,WirtschaftsInformatik,Master
76,2022,No,2,VA,2,WirtschaftsInformatik,Master
89,2022,No,2.7,VA,1,WirtschaftsInformatik,Master
63,2022,No,2.7,VA,2,WirtschaftsInformatik,Master
78,2022,No,1.3,VA,1,WirtschaftsInformatik,Master
79,2022,No,3.7,VA,1,WirtschaftsInformatik,Master
71,2022,No,5,VA,1,WirtschaftsInformatik,Master
52,2022,No,1.3,VA,1,WirtschaftsInformatik,Master
70,2022,No,5,VA,1,WirtschaftsInformatik,Master
79,2022,No,3.7,VA,1,WirtschaftsInformatik,Master
81,2022,No,4,VA,1,(Wirtschafts-)Mathematik,Bachelor
70,2022,No,2.3,VA,2,WirtschaftsInformatik,Master
69,2022,No,4,VA,1,WirtschaftsInformatik,Master
52,2022,No,4,VA,1,WirtschaftsInformatik,Bachelor
67,2022,No,5,VA,1,WirtschaftsInformatik,Master
78,2022,No,2,VA,1,(Wirtschafts-)Mathematik,Master
46,2022,No,3.3,VA,1,WirtschaftsInformatik,Master
34,2022,No,5,VA,1,(Wirtschafts-)Mathematik,Master
52,2022,No,4,VA,2,(Wirtschafts-)Mathematik,Bachelor
39,2022,No,2.7,VA,1,(Wirtschafts-)Mathematik,Bachelor
75,2022,No,3,VA,1,(Wirtschafts-)Mathematik,Master
43,2022,No,2.7,VA,1,WirtschaftsInformatik,Master
75,2022,No,2.3,VA,1,(Wirtschafts-)Mathematik,Master
67,2022,Yes,5,VA,1,WirtschaftsInformatik,Master
69,2022,Yes,3.3,VA,2,WirtschaftsInformatik,Bachelor
72,2022,Yes,3.3,VA,1,(Wirtschafts-)Mathematik,Master
74,2022,Yes,2.3,VA,1,(Wirtschafts-)Mathematik,Master
78,2022,Yes,4,VA,1,WirtschaftsInformatik,Master
46,2022,Yes,4,VA,1,WirtschaftsInformatik,Master
46,2022,Yes,4,VA,2,(Wirtschafts-)Mathematik,Master
50,2022,Yes,5,VA,2,WirtschaftsInformatik,Bachelor
67,2022,Yes,5,VA,3,WirtschaftsInformatik,Master
49,2022,Yes,3.3,VA,2,(Wirtschafts-)Mathematik,Master
58,2022,Yes,4,VA,2,WirtschaftsInformatik,Master
74,2022,Yes,3.3,VA,1,(Wirtschafts-)Mathematik,Bachelor
67,2022,Yes,4,VA,2,WirtschaftsInformatik,Master
15,2022,Yes,5,VA,2,(Wirtschafts-)Mathematik,Master
80,2022,Yes,3.7,VA,1,WirtschaftsInformatik,Bachelor
15,2023,No,5,VA,1,WirtschaftsInformatik,Master
64,2023,No,4,VA,3,WirtschaftsInformatik,Bachelor
79,2023,No,3.7,VA,1,(Wirtschafts-)Mathematik,Master
37,2023,No,1,VA,2,WirtschaftsInformatik,Master
68,2023,No,2,VA,1,(Wirtschafts-)Mathematik,Master
76,2023,No,2.3,VA,1,WirtschaftsInformatik,Master
72,2023,No,2.7,VA,1,WirtschaftsInformatik,Master
75,2023,No,3.3,VA,1,WirtschaftsInformatik,Bachelor
52,2023,No,2,VA,1,WirtschaftsInformatik,Bachelor
77,2023,No,2.3,VA,2,WirtschaftsInformatik,Master
75,2023,No,2.3,VA,1,(Wirtschafts-)Mathematik,Master
47,2023,No,2.7,VA,1,WirtschaftsInformatik,Master
74,2023,No,3.3,VA,3,WirtschaftsInformatik,Master
60,2023,No,4,VA,1,WirtschaftsInformatik,Master
72,2023,No,3.3,VA,1,WirtschaftsInformatik,Master
15,2023,No,5,VA,1,WirtschaftsInformatik,Bachelor
62,2023,No,2.7,VA,1,WirtschaftsInformatik,Bachelor
46,2023,No,4,VA,1,WirtschaftsInformatik,Master
56,2023,No,3.3,VA,1,WirtschaftsInformatik,Bachelor
34,2023,No,5,VA,3,WirtschaftsInformatik,Master
50,2023,No,4,VA,1,WirtschaftsInformatik,Master
72,2023,No,3,VA,1,WirtschaftsInformatik,Bachelor
56,2023,No,3,VA,1,(Wirtschafts-)Mathematik,Bachelor
69,2023,No,3.7,VA,1,(Wirtschafts-)Mathematik,Master
72,2023,No,3,VA,1,WirtschaftsInformatik,Master
86,2023,No,5,VA,1,WirtschaftsInformatik,Master
68,2023,No,2.3,VA,1,(Wirtschafts-)Mathematik,Master
45,2023,No,1.7,VA,1,WirtschaftsInformatik,Bachelor
15,2023,No,5,VA,1,WirtschaftsInformatik,Master
65,2023,No,1.7,VA,1,(Wirtschafts-)Mathematik,Master
89,2023,No,2.7,VA,1,(Wirtschafts-)Mathematik,Master
56,2023,No,2.7,VA,1,WirtschaftsInformatik,Master
63,2023,No,3.7,VA,2,WirtschaftsInformatik,Master
63,2023,No,1,Vis,1,(Wirtschafts-)Mathematik,Master
73,2023,No,2,Vis,1,WirtschaftsInformatik,Master
81,2023,No,4,Vis,1,WirtschaftsInformatik,Master
80,2023,No,3.7,Vis,1,WirtschaftsInformatik,Master
24,2023,No,5,Vis,1,(Wirtschafts-)Mathematik,Master
79,2023,No,3.7,Vis,2,WirtschaftsInformatik,Bachelor
65,2023,No,5,Vis,1,(Wirtschafts-)Mathematik,Master
37,2023,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
79,2023,No,4,Vis,1,WirtschaftsInformatik,Bachelor
15,2023,No,5,Vis,1,(Wirtschafts-)Mathematik,Master
71,2023,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
68,2023,No,2.3,Vis,1,WirtschaftsInformatik,Bachelor
24,2023,No,4,Vis,1,(Wirtschafts-)Mathematik,Master
27,2023,No,3.3,Vis,1,WirtschaftsInformatik,Bachelor
15,2023,No,5,Vis,1,(Wirtschafts-)Mathematik,Master
36,2023,No,1.7,Vis,1,WirtschaftsInformatik,Master
67,2023,No,4,Vis,1,(Wirtschafts-)Mathematik,Bachelor
75,2023,No,2.3,Vis,1,WirtschaftsInformatik,Master
56,2023,No,2.7,Vis,1,WirtschaftsInformatik,Master
73,2023,No,2,Vis,3,WirtschaftsInformatik,Master
50,2023,No,4,Vis,3,WirtschaftsInformatik,Master
68,2023,No,2.7,Vis,1,(Wirtschafts-)Mathematik,Master
68,2023,No,2,Vis,1,WirtschaftsInformatik,Master
75,2023,No,2.3,Vis,1,WirtschaftsInformatik,Master
58,2023,No,4,Vis,1,WirtschaftsInformatik,Master
79,2023,No,4,Vis,1,(Wirtschafts-)Mathematik,Bachelor
64,2023,No,4,Vis,1,(Wirtschafts-)Mathematik,Bachelor
15,2023,No,5,Vis,1,WirtschaftsInformatik,Master
64,2023,No,5,Vis,3,WirtschaftsInformatik,Master
72,2023,No,3.3,Vis,3,WirtschaftsInformatik,Master
65,2023,No,2.7,Vis,1,WirtschaftsInformatik,Bachelor
51,2023,No,3,Vis,1,(Wirtschafts-)Mathematik,Bachelor
68,2023,No,3,Vis,1,WirtschaftsInformatik,Master
79,2023,No,3.7,Vis,1,WirtschaftsInformatik,Bachelor
34,2023,No,5,Vis,1,WirtschaftsInformatik,Master
68,2023,No,1.7,Vis,1,(Wirtschafts-)Mathematik,Master
66,2023,No,1.7,Vis,1,WirtschaftsInformatik,Bachelor
68,2023,No,3,Vis,1,(Wirtschafts-)Mathematik,Master
47,2023,No,2.7,Vis,1,WirtschaftsInformatik,Bachelor
69,2023,No,2.7,Vis,1,WirtschaftsInformatik,Master
15,2023,yes,5,Vis,1,WirtschaftsInformatik,Master
74,2023,yes,4,Vis,1,WirtschaftsInformatik,Master
79,2023,yes,3.7,Vis,2,WirtschaftsInformatik,Bachelor
73,2023,yes,2,Vis,1,(Wirtschafts-)Mathematik,Master
65,2023,yes,1.7,Vis,2,WirtschaftsInformatik,Master
15,2023,yes,5,Vis,1,WirtschaftsInformatik,Bachelor
72,2023,yes,5,Vis,1,(Wirtschafts-)Mathematik,Master
63,2023,yes,2.7,Vis,1,WirtschaftsInformatik,Bachelor
77,2023,yes,2.3,Vis,3,(Wirtschafts-)Mathematik,Master
63,2023,yes,4,Vis,1,WirtschaftsInformatik,Master
24,2023,yes,5,Vis,1,WirtschaftsInformatik,Master
81,2023,yes,3.7,Vis,1,(Wirtschafts-)Mathematik,Master
80,2023,yes,3.3,Vis,1,WirtschaftsInformatik,Bachelor
63,2023,yes,3.3,Vis,1,WirtschaftsInformatik,Bachelor
78,2023,yes,1,Vis,1,(Wirtschafts-)Mathematik,Bachelor
59,2023,yes,2,Vis,1,WirtschaftsInformatik,Master
